RecordTime,ÑÓ³Ù´ÎÊý(´Î),extra,SimpleTime
1669277962711,3.0,sg.partying.android.lite,279.235
1669277963728,0.0,sg.partying.android.lite,280.252
1669277964713,0.0,sg.partying.android.lite,281.237
1669277965714,0.0,sg.partying.android.lite,282.238
1669277966714,0.0,sg.partying.android.lite,283.238
1669277967718,0.0,sg.partying.android.lite,284.242
1669277968720,0.0,sg.partying.android.lite,285.244
1669277969721,1.0,sg.partying.android.lite,286.245
1669277970722,0.0,sg.partying.android.lite,287.246
1669277971725,0.0,sg.partying.android.lite,288.249
1669277972725,0.0,sg.partying.android.lite,289.249
1669277973727,1.0,sg.partying.android.lite,290.251
1669277974728,0.0,sg.partying.android.lite,291.252
1669277975728,0.0,sg.partying.android.lite,292.252
1669277976729,3.0,sg.partying.android.lite,293.253
1669277977729,0.0,sg.partying.android.lite,294.253
1669277978730,0.0,sg.partying.android.lite,295.254
1669277979732,0.0,sg.partying.android.lite,296.256
1669277980733,0.0,sg.partying.android.lite,297.257
1669277981734,1.0,sg.partying.android.lite,298.258
1669277982737,0.0,sg.partying.android.lite,299.261
1669277983738,0.0,sg.partying.android.lite,300.262
1669277984738,0.0,sg.partying.android.lite,301.262
1669277985739,1.0,sg.partying.android.lite,302.263
1669277986741,1.0,sg.partying.android.lite,303.265
1669277987741,0.0,sg.partying.android.lite,304.265
1669277988745,1.0,sg.partying.android.lite,305.269
1669277989743,0.0,sg.partying.android.lite,306.267
1669277990744,2.0,sg.partying.android.lite,307.268
1669277991746,0.0,sg.partying.android.lite,308.27
1669277992746,0.0,sg.partying.android.lite,309.27
1669277993754,1.0,sg.partying.android.lite,310.278
1669277994746,0.0,sg.partying.android.lite,311.27
1669277995747,2.0,sg.partying.android.lite,312.271
1669277996749,0.0,sg.partying.android.lite,313.273
1669277997750,0.0,sg.partying.android.lite,314.274
1669277998750,0.0,sg.partying.android.lite,315.274
1669277999750,0.0,sg.partying.android.lite,316.274
1669278000753,2.0,sg.partying.android.lite,317.277
1669278001754,1.0,sg.partying.android.lite,318.278
1669278002754,0.0,sg.partying.android.lite,319.278
1669278003755,0.0,sg.partying.android.lite,320.279
1669278004757,0.0,sg.partying.android.lite,321.281
1669278005758,0.0,sg.partying.android.lite,322.282
1669278006758,0.0,sg.partying.android.lite,323.282
1669278007759,0.0,sg.partying.android.lite,324.283
1669278008765,0.0,sg.partying.android.lite,325.289
1669278009761,0.0,sg.partying.android.lite,326.285
1669278010760,0.0,sg.partying.android.lite,327.284
1669278011761,0.0,sg.partying.android.lite,328.285
1669278012762,0.0,sg.partying.android.lite,329.286
1669278013769,0.0,sg.partying.android.lite,330.293
1669278014764,2.0,sg.partying.android.lite,331.288
1669278015765,3.0,sg.partying.android.lite,332.289
1669278016765,0.0,sg.partying.android.lite,333.289
1669278017769,0.0,sg.partying.android.lite,334.293
1669278018776,0.0,sg.partying.android.lite,335.3
1669278019770,3.0,sg.partying.android.lite,336.294
1669278020771,0.0,sg.partying.android.lite,337.295
1669278021772,3.0,sg.partying.android.lite,338.296
1669278022773,0.0,sg.partying.android.lite,339.297
1669278023775,0.0,sg.partying.android.lite,340.299
1669278024782,0.0,sg.partying.android.lite,341.306
1669278025777,1.0,sg.partying.android.lite,342.301
1669278026778,1.0,sg.partying.android.lite,343.302
1669278027779,1.0,sg.partying.android.lite,344.303
1669278028780,0.0,sg.partying.android.lite,345.304
1669278029783,1.0,sg.partying.android.lite,346.307
1669278030784,1.0,sg.partying.android.lite,347.308
1669278031782,1.0,sg.partying.android.lite,348.306
1669278032784,0.0,sg.partying.android.lite,349.308
1669278033784,0.0,sg.partying.android.lite,350.308
1669278034786,3.0,sg.partying.android.lite,351.31
1669278035787,0.0,sg.partying.android.lite,352.311
1669278036787,0.0,sg.partying.android.lite,353.311
1669278037789,0.0,sg.partying.android.lite,354.313
1669278038793,0.0,sg.partying.android.lite,355.317
1669278039793,5.0,sg.partying.android.lite,356.317
1669278040797,3.0,sg.partying.android.lite,357.321
1669278041797,5.0,sg.partying.android.lite,358.321
1669278042797,6.0,sg.partying.android.lite,359.321
1669278043798,1.0,sg.partying.android.lite,360.322
1669278044805,1.0,sg.partying.android.lite,361.329
1669278045801,1.0,sg.partying.android.lite,362.325
1669278046802,6.0,sg.partying.android.lite,363.326
1669278047804,5.0,sg.partying.android.lite,364.328
1669278048804,0.0,sg.partying.android.lite,365.328
1669278049804,0.0,sg.partying.android.lite,366.328
1669278050807,2.0,sg.partying.android.lite,367.331
1669278051808,0.0,sg.partying.android.lite,368.332
1669278052809,0.0,sg.partying.android.lite,369.333
1669278053814,1.0,sg.partying.android.lite,370.338
1669278054815,2.0,sg.partying.android.lite,371.339
1669278055816,1.0,sg.partying.android.lite,372.34
1669278056817,0.0,sg.partying.android.lite,373.341
1669278057818,0.0,sg.partying.android.lite,374.342
1669278058819,0.0,sg.partying.android.lite,375.343
1669278059820,0.0,sg.partying.android.lite,376.344
1669278060820,2.0,sg.partying.android.lite,377.344
1669278061823,5.0,sg.partying.android.lite,378.347
1669278062823,0.0,sg.partying.android.lite,379.347
1669278063822,3.0,sg.partying.android.lite,380.346
1669278064823,1.0,sg.partying.android.lite,381.347
1669278065823,0.0,sg.partying.android.lite,382.347
1669278066825,4.0,sg.partying.android.lite,383.349
1669278067825,1.0,sg.partying.android.lite,384.349
1669278068826,4.0,sg.partying.android.lite,385.35
1669278069830,0.0,sg.partying.android.lite,386.354
