RecordTime,全局占用(%),extra,SimpleTime
1669278865144,49.874054,,1181.668
1669278865607,52.089138,,1182.131
1669278866167,53.91705,,1182.691
1669278866685,50.75,,1183.209
1669278867105,59.677418,,1183.629
1669278867669,52.184467,,1184.193
1669278868154,49.090908,,1184.678
1669278868637,53.092785,,1185.161
1669278869165,55.31915,,1185.689
1669278869659,47.65625,,1186.183
1669278870173,48.25,,1186.697
1669278870669,50.85158,,1187.193
1669278871170,50.485435,,1187.694
1669278871653,50.510204,,1188.177
1669278872155,48.51485,,1188.679
1669278872667,48.16626,,1189.191
1669278873173,48.87218,,1189.697
1669278873647,56.657963,,1190.171
1669278874159,53.47722,,1190.683
