RecordTime,PSS-main-6006(MB),extra,SimpleTime
1669202436012,350.25,,3338.825
1669202437100,350.31348,,3339.913
1669202438174,350.46875,,3340.987
1669202439132,350.59375,,3341.945
1669202440031,350.68457,,3342.844
1669202441152,350.63672,,3343.965
1669202441927,350.66113,,3344.74
1669202443082,350.68652,,3345.895
1669202443992,350.75195,,3346.805
1669202445035,350.77344,,3347.848
1669202446013,350.76562,,3348.826
1669202446986,350.8125,,3349.799
1669202447892,350.92676,,3350.705
1669202449106,350.9707,,3351.919
1669202450056,351.05957,,3352.869
1669202451071,351.19238,,3353.884
1669202452044,351.09668,,3354.857
1669202453310,351.09668,,3356.123
1669202453999,351.15723,,3356.812
1669202455012,351.16504,,3357.825
1669202456193,351.1172,,3359.006
1669202457032,351.12402,,3359.845
1669202458352,351.27832,,3361.165
1669202458947,351.34375,,3361.76
1669202463976,351.5078,,3366.789
1669202465050,351.50488,,3367.863
1669202465993,352.26562,,3368.806
1669202466920,351.6328,,3369.733
1669202468112,351.72168,,3370.925
1669202469060,351.73535,,3371.873
1669202470472,351.85547,,3373.285
1669202471495,351.82617,,3374.308
1669202472619,351.85547,,3375.432
1669202473451,351.90527,,3376.264
1669202474537,351.9336,,3377.35
1669202475648,351.95117,,3378.461
1669202476533,351.93848,,3379.346
1669202477619,351.95996,,3380.432
1669202478391,352.125,,3381.204
1669202489491,352.78613,,3392.304
1669202490511,352.89062,,3393.324
1669202491510,352.84473,,3394.323
1669202492442,352.8877,,3395.255
1669202493591,352.86035,,3396.404
1669202494491,352.95312,,3397.304
1669202495593,352.97656,,3398.406
1669202496467,352.96875,,3399.28
1669202497616,353.10156,,3400.429
1669202498791,353.1709,,3401.604
1669202499574,353.15332,,3402.387
1669202500488,353.22363,,3403.301
1669202501611,353.208,,3404.424
1669202502565,353.20508,,3405.378
1669202503833,353.2588,,3406.646
1669202508935,353.61035,,3411.748
1669202510572,353.71973,,3413.385
1669202511570,353.6494,,3414.383
1669202512611,353.6455,,3415.424
1669202513406,353.69922,,3416.219
1669202514582,353.74316,,3417.395
1669202515592,353.76758,,3418.405
1669202516783,353.75977,,3419.596
1669202517612,353.7832,,3420.425
1669202518568,353.9248,,3421.381
1669202519531,353.9463,,3422.344
1669202520721,354.04395,,3423.534
1669202521659,354.0205,,3424.472
1669202522712,354.03516,,3425.525
1669202530534,354.43848,,3433.347
1669202532013,354.3877,,3434.826
1669202533803,354.44922,,3436.616
1669202544330,354.9961,,3447.143
1669202545133,355.0078,,3447.946
1669202546198,355.03516,,3449.011
1669202547272,355.19727,,3450.085
1669202548110,355.31445,,3450.923
1669202549058,355.35938,,3451.871
1669202550125,355.4414,,3452.938
1669202551216,355.40332,,3454.029
1669202552214,355.4287,,3455.027
1669202553299,355.4209,,3456.112
1669202554554,355.52344,,3457.367
1669202556133,355.54785,,3458.946
1669202557538,355.54492,,3460.351
1669202558730,355.67188,,3461.543
1669202559612,355.65723,,3462.425
1669202560582,355.74316,,3463.395
1669202561649,355.74316,,3464.462
1669202563317,434.08594,,3466.13
1669202563988,405.01367,,3466.801
1669202565058,396.083,,3467.871
1669202566273,391.625,,3469.086
1669202567194,391.51172,,3470.007
1669202568222,389.57617,,3471.035
1669202568963,389.64746,,3471.776
1669202570519,391.60547,,3473.332
1669202571573,389.70605,,3474.386
1669202572621,391.57715,,3475.434
1669202573566,391.6504,,3476.379
1669202574521,390.1211,,3477.334
1669202575534,389.71484,,3478.347
1669202576636,391.71094,,3479.449
1669202578246,389.39844,,3481.059
1669202579147,389.2871,,3481.96
1669202580050,391.27344,,3482.863
1669202581064,391.31445,,3483.877
1669202582230,391.02148,,3485.043
1669202583133,391.62305,,3485.946
1669202584100,389.32715,,3486.913
1669202585127,389.31543,,3487.94
1669202585984,391.20996,,3488.797
1669202587105,389.31152,,3489.918
1669202588281,391.30078,,3491.094
1669202589334,391.25293,,3492.147
1669202595282,346.66406,,3498.095
1669202596135,389.43652,,3498.948
1669202597199,391.40918,,3500.012
1669202598276,389.4248,,3501.089
1669202599137,389.47266,,3501.95
1669202600114,389.56152,,3502.927
1669202601115,389.42676,,3503.928
1669202602238,389.79688,,3505.051
1669202603533,389.5498,,3506.346
1669202604120,389.61328,,3506.933
1669202605136,389.52344,,3507.949
1669202606188,389.5078,,3509.001
1669202607279,391.45898,,3510.092
1669202608388,391.49902,,3511.201
1669202609083,391.4912,,3511.896
1669202610346,391.5,,3513.159
1669202611197,391.82812,,3514.01
1669202612225,389.53223,,3515.038
1669202613185,389.62012,,3515.998
1669202614128,389.64062,,3516.941
1669202615075,346.55762,,3517.888
1669202616135,389.5547,,3518.948
1669202617276,391.4961,,3520.089
1669202618287,391.4834,,3521.1
1669202619295,389.63672,,3522.108
1669202624647,389.917,,3527.46
1669202626159,389.8086,,3528.972
1669202627153,389.8662,,3529.966
1669202628092,389.833,,3530.905
1669202629236,389.78906,,3532.049
1669202630250,390.13672,,3533.063
1669202631654,391.64453,,3534.467
1669202632663,391.69922,,3535.476
1669202633646,391.75195,,3536.459
1669202634631,389.88965,,3537.444
1669202635579,391.70703,,3538.392
1669202636759,391.73828,,3539.572
1669202637679,391.70605,,3540.492
1669202638596,390.22168,,3541.409
1669202639730,389.8789,,3542.543
1669202640738,391.81934,,3543.551
1669202641724,389.8672,,3544.537
1669202642666,391.76855,,3545.479
1669202643822,389.82422,,3546.635
1669202644752,389.9248,,3547.565
1669202645823,389.88672,,3548.636
1669202646755,389.89844,,3549.568
1669202647794,389.93066,,3550.607
1669202648832,392.22168,,3551.645
1669202649602,390.00684,,3552.415
1669202651129,392.05664,,3553.942
1669202652130,391.89062,,3554.943
1669202653178,390.03125,,3555.991
1669202654217,389.9912,,3557.03
1669202655171,391.89258,,3557.984
1669202656195,389.94824,,3559.008
1669202657194,392.33008,,3560.007
1669202658245,390.06152,,3561.058
1669202659258,386.37402,,3562.071
1669202665596,343.82324,,3568.409
1669202667307,386.98242,,3570.12
1669202668683,386.64258,,3571.496
1669202669674,386.6504,,3572.487
1669202670797,386.68652,,3573.61
1669202671735,386.6504,,3574.548
1669202672633,386.35352,,3575.446
1669202673758,386.40918,,3576.571
1669202674710,386.37793,,3577.523
1669202675712,388.62793,,3578.525
1669202676769,386.3496,,3579.582
1669202677710,386.4082,,3580.523
1669202678838,388.40918,,3581.651
1669202679638,388.38184,,3582.451
1669202680704,388.37012,,3583.517
1669202681718,386.4287,,3584.531
1669202682557,386.45508,,3585.37
1669202683698,386.4795,,3586.511
1669202684540,386.47168,,3587.353
1669202685639,386.81445,,3588.452
1669202686685,388.37012,,3589.498
1669202687847,386.44824,,3590.66
1669202688794,386.4912,,3591.607
1669202689673,386.5254,,3592.486
1669202690679,386.56055,,3593.492
1669202691593,386.49512,,3594.406
1669202692652,386.5254,,3595.465
1669202693732,386.58105,,3596.545
1669202694628,388.74512,,3597.441
1669202695663,386.4834,,3598.476
1669202696673,386.8584,,3599.486
1669202697652,386.95215,,3600.465
1669202698805,388.9668,,3601.618
1669202699702,386.94043,,3602.515
1669202700682,388.8662,,3603.495
1669202701783,386.9248,,3604.596
1669202702812,388.74902,,3605.625
1669202703760,385.30273,,3606.573
1669202704904,386.93262,,3607.717
1669202705798,386.93555,,3608.611
1669202706679,388.84473,,3609.492
1669202707692,388.81934,,3610.505
1669202708715,386.99902,,3611.528
1669202714587,386.88574,,3617.4
1669202715649,386.81152,,3618.462
1669202716851,386.75195,,3619.664
1669202717707,388.7168,,3620.52
1669202718664,388.73438,,3621.477
1669202719677,386.80664,,3622.49
1669202720615,388.75098,,3623.428
1669202721691,386.79492,,3624.504
1669202722649,387.14258,,3625.462
1669202723886,388.78125,,3626.699
1669202724727,388.84668,,3627.54
1669202725699,388.75684,,3628.512
1669202726737,388.7334,,3629.55
1669202727779,388.79883,,3630.592
1669202728773,387.01855,,3631.586
1669202729734,388.90918,,3632.547
1669202730617,388.94336,,3633.43
1669202731787,389.18457,,3634.6
1669202732670,386.92383,,3635.483
1669202733842,386.9082,,3636.655
1669202734765,386.9746,,3637.578
1669202735678,386.9795,,3638.491
1669202736692,386.9336,,3639.505
1669202737778,386.90918,,3640.591
1669202738845,387.04492,,3641.658
1669202740308,387.10352,,3643.121
1669202741207,389.2129,,3644.02
1669202742194,386.9629,,3645.007
1669202743354,386.70508,,3646.167
1669202744166,382.75293,,3646.979
1669202745227,388.917,,3648.04
1669202746417,386.9707,,3649.23
1669202747117,387.0547,,3649.93
1669202748387,388.9746,,3651.2
1669202749490,389.0996,,3652.303
1669202750340,389.3506,,3653.153
1669202751197,387.06152,,3654.01
1669202752461,387.15918,,3655.274
1669202753222,389.0254,,3656.035
1669202754359,387.13574,,3657.172
1669202755159,387.0879,,3657.972
1669202756217,387.13477,,3659.03
1669202757159,389.0459,,3659.972
1669202758243,389.14453,,3661.056
1669202759307,387.56934,,3662.12
1669202760739,347.86523,,3663.552
1669202761189,389.07227,,3664.002
1669202762155,387.16992,,3664.968
1669202763152,387.1504,,3665.965
1669202764499,387.2461,,3667.312
1669202765160,389.12402,,3667.973
1669202766343,387.2754,,3669.156
1669202767235,389.24902,,3670.048
1669202768204,389.13965,,3671.017
1669202769137,387.6631,,3671.95
1669202770155,387.2754,,3672.968
1669202771098,389.2588,,3673.911
1669202772278,389.1797,,3675.091
1669202773131,389.13867,,3675.944
1669202774698,387.2754,,3677.511
1669202775386,389.21875,,3678.199
1669202776261,389.1875,,3679.074
1669202777312,387.27637,,3680.125
1669202778356,389.61035,,3681.169
1669202779210,387.38184,,3682.023
1669202780774,389.38574,,3683.587
1669202781701,387.3037,,3684.514
1669202782641,387.3545,,3685.454
1669202783665,387.38477,,3686.478
1669202784772,389.25586,,3687.585
1669202785836,387.34375,,3688.649
1669202786803,387.38574,,3689.616
1669202787782,389.62695,,3690.595
1669202788713,387.39258,,3691.526
1669202789782,386.93945,,3692.595
1669202790577,389.13867,,3693.39
1669202791801,387.40527,,3694.614
