RecordTime,CPUÎÂ¶È(¶È),extra,SimpleTime
1669278014763,45.3,null,331.287
1669278015265,45.3,null,331.789
1669278016264,47.7,null,332.788
1669278016764,48.4,null,333.288
1669278017265,46.5,null,333.789
1669278017767,46.9,null,334.291
1669278018268,46.1,null,334.792
1669278018768,45.3,null,335.292
1669278019271,44.9,null,335.795
1669278020269,45.7,null,336.793
1669278020770,46.5,null,337.294
1669278021270,47.7,null,337.794
1669278021772,47.7,null,338.296
1669278022273,46.1,null,338.797
1669278022773,46.1,null,339.297
1669278023273,45.7,null,339.797
1669278023775,45.3,null,340.299
1669278024277,44.9,null,340.801
1669278025777,45.7,null,342.301
1669278026278,46.9,null,342.802
1669278026778,48.0,null,343.302
1669278027279,47.7,null,343.803
1669278027779,46.5,null,344.303
1669278028279,45.7,null,344.803
1669278028779,46.1,null,345.303
1669278029281,46.1,null,345.805
1669278029783,45.3,null,346.307
1669278030782,46.9,null,347.306
1669278031282,46.5,null,347.806
1669278031782,47.7,null,348.306
1669278032282,48.0,null,348.806
1669278032784,45.7,null,349.308
1669278033284,46.9,null,349.808
1669278033784,45.7,null,350.308
1669278034286,44.9,null,350.81
1669278034789,45.3,null,351.313
1669278035787,45.7,null,352.311
1669278036287,46.5,null,352.811
1669278036787,48.0,null,353.311
1669278037289,47.3,null,353.813
1669278037789,46.9,null,354.313
1669278038289,46.1,null,354.813
1669278038793,45.3,null,355.317
1669278039293,45.7,null,355.817
1669278039794,44.6,null,356.318
1669278040294,45.3,null,356.818
1669278040797,46.5,null,357.321
1669278041796,48.4,null,358.32
1669278042297,47.7,null,358.821
1669278042798,46.9,null,359.322
1669278043798,46.5,null,360.322
1669278044298,45.7,null,360.822
1669278044802,46.1,null,361.326
1669278046302,47.7,null,362.826
1669278046802,46.9,null,363.326
1669278047306,48.8,null,363.83
1669278048303,46.9,null,364.827
1669278048805,46.1,null,365.329
1669278049804,45.7,null,366.328
1669278050305,45.3,null,366.829
1669278050805,47.3,null,367.329
1669278051306,46.9,null,367.83
1669278051808,45.7,null,368.332
1669278052309,45.7,null,368.833
1669278052809,44.9,null,369.333
1669278053316,46.1,null,369.84
1669278054315,45.7,null,370.839
1669278054815,46.1,null,371.339
1669278055317,45.7,null,371.841
1669278056817,47.3,null,373.341
1669278057318,48.0,null,373.842
1669278058317,46.1,null,374.841
1669278058819,46.9,null,375.343
1669278059319,45.3,null,375.843
1669278060320,47.7,null,376.844
1669278060820,47.3,null,377.344
1669278061321,48.4,null,377.845
1669278061821,49.6,null,378.345
1669278062321,48.0,null,378.845
1669278062822,48.0,null,379.346
1669278063322,47.7,null,379.846
1669278063822,46.5,null,380.346
1669278064323,46.1,null,380.847
1669278064823,46.5,null,381.347
1669278065323,46.5,null,381.847
1669278065824,46.5,null,382.348
1669278066325,48.4,null,382.849
1669278066825,48.8,null,383.349
1669278067325,49.2,null,383.849
1669278067825,49.2,null,384.349
1669278068326,49.2,null,384.85
1669278068826,48.0,null,385.35
1669278069327,49.2,null,385.851
1669278069827,48.0,null,386.351
1669278070327,48.0,null,386.851
1669278070827,47.7,null,387.351
1669278071327,49.6,null,387.851
1669278071828,48.8,null,388.352
1669278072328,48.4,null,388.852
1669278072829,48.0,null,389.353
1669278073329,46.5,null,389.853
1669278073829,48.0,null,390.353
1669278074329,46.9,null,390.853
1669278074830,46.9,null,391.354
1669278075330,46.5,null,391.854
1669278075830,46.9,null,392.354
1669278076330,48.0,null,392.854
1669278076832,49.2,null,393.356
1669278077333,47.3,null,393.857
1669278078333,46.5,null,394.857
1669278078834,46.1,null,395.358
1669278079335,46.5,null,395.859
1669278080337,46.1,null,396.861
1669278080837,46.1,null,397.361
1669278081337,47.7,null,397.861
1669278081838,48.8,null,398.362
1669278082338,49.6,null,398.862
1669278082839,46.5,null,399.363
1669278083339,46.5,null,399.863
1669278083839,46.1,null,400.363
1669278084339,46.1,null,400.863
1669278084839,45.7,null,401.363
1669278085340,45.7,null,401.864
1669278085840,46.5,null,402.364
1669278086340,48.8,null,402.864
1669278086840,48.8,null,403.364
1669278087340,47.3,null,403.864
1669278087841,47.3,null,404.365
1669278088342,46.9,null,404.866
1669278088842,46.5,null,405.366
1669278089342,46.9,null,405.866
1669278089842,46.5,null,406.366
1669278090343,47.7,null,406.867
1669278090843,46.5,null,407.367
1669278091343,48.0,null,407.867
1669278091843,46.9,null,408.367
1669278092345,46.9,null,408.869
1669278092845,46.1,null,409.369
1669278093346,46.1,null,409.87
1669278093846,46.1,null,410.37
1669278094846,46.5,null,411.37
1669278095346,46.9,null,411.87
1669278095846,47.3,null,412.37
1669278096346,48.0,null,412.87
1669278096846,50.8,null,413.37
1669278097346,48.4,null,413.87
1669278097847,48.4,null,414.371
1669278098348,50.4,null,414.872
1669278098849,48.0,null,415.373
1669278099349,48.0,null,415.873
1669278099849,46.9,null,416.373
1669278100349,47.3,null,416.873
1669278100849,47.7,null,417.373
1669278101349,48.4,null,417.873
1669278101850,49.2,null,418.374
1669278102350,51.2,null,418.874
1669278102850,49.6,null,419.374
1669278103350,48.0,null,419.874
1669278103851,47.7,null,420.375
1669278104353,48.8,null,420.877
1669278104855,48.0,null,421.379
1669278105853,49.2,null,422.377
1669278106353,49.2,null,422.877
1669278106854,51.2,null,423.378
1669278107356,51.2,null,423.88
1669278108355,46.9,null,424.879
1669278108855,48.0,null,425.379
1669278109358,48.8,null,425.882
1669278109858,48.4,null,426.382
1669278110358,46.5,null,426.882
1669278110858,46.9,null,427.382
1669278111358,47.7,null,427.882
1669278111859,48.8,null,428.383
1669278112360,49.6,null,428.884
1669278112862,48.0,null,429.386
1669278113861,47.7,null,430.385
1669278114361,48.0,null,430.885
1669278114861,47.3,null,431.385
1669278115362,46.9,null,431.886
1669278115862,47.7,null,432.386
1669278116362,47.3,null,432.886
1669278116862,47.7,null,433.386
1669278117365,46.5,null,433.889
1669278117865,46.9,null,434.389
1669278118365,47.7,null,434.889
1669278119867,46.9,null,436.391
1669278120368,46.5,null,436.892
1669278120868,46.5,null,437.392
1669278121368,47.7,null,437.892
1669278121868,49.2,null,438.392
1669278122869,49.2,null,439.393
1669278123369,48.0,null,439.893
1669278124369,46.5,null,440.893
1669278124873,46.9,null,441.397
1669278125373,46.9,null,441.897
1669278125873,45.7,null,442.397
1669278126375,48.0,null,442.899
1669278126875,48.0,null,443.399
1669278127375,49.6,null,443.899
1669278127875,50.0,null,444.399
1669278128378,47.7,null,444.902
1669278129376,47.7,null,445.9
1669278129876,47.3,null,446.4
1669278130376,47.3,null,446.9
1669278130878,47.3,null,447.402
1669278131877,48.8,null,448.401
1669278132881,47.7,null,449.405
1669278133381,46.5,null,449.905
1669278133882,46.9,null,450.406
1669278134883,46.9,null,451.407
1669278135883,47.3,null,452.407
1669278136388,47.3,null,452.912
1669278136888,48.0,null,453.412
1669278137388,49.6,null,453.912
1669278137888,48.0,null,454.412
1669278138389,46.5,null,454.913
1669278138889,46.9,null,455.413
1669278139389,47.7,null,455.913
1669278139890,46.5,null,456.414
1669278140395,46.1,null,456.919
1669278141395,45.7,null,457.919
1669278141895,46.9,null,458.419
1669278142395,49.2,null,458.919
1669278142897,47.3,null,459.421
1669278144397,46.1,null,460.921
1669278144898,47.3,null,461.422
1669278145898,44.9,null,462.422
1669278146898,46.9,null,463.422
1669278147398,47.7,null,463.922
1669278147898,49.2,null,464.422
1669278148398,48.4,null,464.922
1669278148899,47.3,null,465.423
1669278149400,46.5,null,465.924
1669278150404,46.5,null,466.928
1669278151401,46.5,null,467.925
1669278151901,46.5,null,468.425
1669278152401,47.3,null,468.925
1669278152901,49.2,null,469.425
1669278153402,49.6,null,469.926
1669278153903,47.7,null,470.427
1669278154403,46.5,null,470.927
1669278154903,47.3,null,471.427
1669278155403,46.9,null,471.927
1669278155903,46.1,null,472.427
1669278156404,46.5,null,472.928
1669278157905,48.8,null,474.429
1669278158405,47.7,null,474.929
1669278158906,47.7,null,475.43
1669278159407,47.3,null,475.931
1669278159912,46.9,null,476.436
1669278160413,46.1,null,476.937
1669278160913,46.5,null,477.437
1669278161413,46.5,null,477.937
1669278161913,46.9,null,478.437
1669278162415,46.9,null,478.939
1669278162915,49.2,null,479.439
1669278163416,48.8,null,479.94
1669278164416,47.3,null,480.94
1669278164916,47.7,null,481.44
1669278165416,47.3,null,481.94
1669278165917,47.7,null,482.441
1669278166417,47.7,null,482.941
1669278166920,48.4,null,483.444
1669278167423,49.2,null,483.947
1669278168421,49.6,null,484.945
1669278168921,48.4,null,485.445
1669278169422,48.0,null,485.946
1669278169923,48.4,null,486.447
1669278170423,48.0,null,486.947
1669278170923,47.3,null,487.447
1669278171423,47.3,null,487.947
1669278171923,46.9,null,488.447
1669278172427,46.9,null,488.951
1669278173427,49.6,null,489.951
1669278173927,48.8,null,490.451
1669278174427,47.3,null,490.951
1669278174927,47.3,null,491.451
1669278175428,45.7,null,491.952
1669278175928,46.5,null,492.452
1669278176432,46.5,null,492.956
1669278176932,46.9,null,493.456
1669278177932,50.4,null,494.456
1669278178432,49.2,null,494.956
1669278178933,48.4,null,495.457
1669278179433,47.7,null,495.957
1669278179933,46.9,null,496.457
1669278180433,46.5,null,496.957
1669278180934,46.1,null,497.458
1669278181434,46.9,null,497.958
1669278181936,47.3,null,498.46
